Brnd_Name,Tot_Drug_Cst,Tot_Clms,Cost_Per_Claim
Abacavir,1722704.240000001,9891,174.16886462440613
Abacavir-Lamivudine,3335926.709999997,11201,297.8240076778857
Abilify Asimtufii,21120698.339999992,3831,5513.103194988252
Abilify Maintena,512868771.22000027,187418,2736.4968744731045
Abiraterone Acetate,630725038.48,360226,1750.914810369046
Abrysvo,431001071.8000001,1501907,286.9692143388373
Acamprosate Calcium,1388363.2200000007,12512,110.96253356777498
Acarbose,3556527.5200000005,102012,34.863815237423054
Acebutolol Hcl,1398040.5899999999,27498,50.841537202705645
Acetaminophen-Codeine,26696161.269999985,1717843,15.540512881561344
Acetazolamide,4869622.97,109071,44.646358518763
Acetazolamide Er,2064760.3,43496,47.47011909141071
Acetic Acid,664180.1399999999,36704,18.09557922842197
Acetylcysteine,974565.2699999999,11549,84.3852515369296
Acitretin,6557561.150000001,24355,269.24907205912547
Actemra,90537533.94000009,25061,3612.686402777227
Actemra Actpen,180678929.52999997,44475,4062.4829573917923
Acthar,184342144.48000002,2740,67278.15491970803
Acyclovir,21643183.86999999,1277202,16.945779813999657
Adacel Tdap,11640237.519999994,196471,59.246593746659784
Adbry,25231418.930000003,6691,3770.9488761022276
Adderall,3229158.8899999983,5011,644.4140670524841
Adderall Xr,4910588.010000001,15721,312.35850200368935
Adefovir Dipivoxil,733323.19,1142,642.1393957968476
Adempas,652245459.9600005,47812,13641.877770434212
Adlarity,1306081.2100000002,2723,479.6478920308484
Admelog,2777395.7499999986,16538,167.94024368121893
Admelog Solostar,12834563.059999999,62526,205.26761763106546
Adrenalin,1657.8600000000001,109,15.209724770642204
Advair Diskus,18379674.509999983,76430,240.47722765929586
Advair Hfa,169696234.9300001,384727,441.0822087610178
Advocate Syringes,679445.5799999997,11667,58.23652867060939
Adzenys Xr-Odt,560577.5700000001,1026,546.3719005847954
Afrezza,18463405.109999992,9227,2001.0193031321114
Aimovig Autoinjector,236593818.2099999,272021,869.7630631826215
Ajovy Autoinjector,55602587.52999998,66422,837.1110103580136
Ajovy Syringe,10648890.75,13149,809.8631644992015
Albuterol Sulfate,6225164.420000005,214839,28.9759513868525
Albuterol Sulfate Hfa,523199102.06999964,17522895,29.858028714433296
Alclometasone Dipropionate,919010.8199999995,23811,38.596061484187956
Alcohol Pads,4795973.870000002,92636,51.77224696662207
Alcohol Prep Pads,10218901.59,424118,24.09447745674553
Alcohol Swab,27141.23,10911,2.487510768948767
Alcohol Swabs,342222.6700000002,68267,5.013002915024832
Alecensa,146304346.59000003,8686,16843.696360810503
Alendronate Sodium,71492261.62999998,8242626,8.67348119761833
Alfuzosin Hcl Er,18129026.720000006,838780,21.61356579794464
Aliskiren,1480241.8299999994,7112,208.1329907199099
Allopurinol,89801271.57000001,9025695,9.949513203138373
Alogliptin,6778033.949999998,43005,157.6103697244506
Alosetron Hcl,4560655.63,6434,708.8367469692259
Alphagan P,68696720.03999999,190430,360.74526093577686
Alprazolam,57763046.779999964,10948502,5.27588584995463
Alprazolam Er,990232.8900000006,30260,32.72415366820888
Alprazolam Xr,186973.6200000001,6747,27.712112049799927
Alvaiz,4737928.110000001,790,5997.377354430381
Alvesco,27413197.37999999,187569,146.14993618348444
Amantadine,17170902.11999999,392825,43.711327232228065
Ambien,3411230.8000000017,5214,654.2444955887997
Ambrisentan,163770894.45000002,53390,3067.445110507586
Amikacin Sulfate,498687.31999999966,7121,70.03051818564803
Amiloride Hcl,604202.0099999999,41322,14.621799767678231
Amiloride-Hydrochlorothiazide,162359.17000000007,5991,27.100512435319658
Amiodarone Hcl,60156316.69,2494203,24.118452543758465
Amitriptyline Hcl,42354190.36999999,2940108,14.405658013243048
Amjevita(Cf) Autoinjector,29773413.109999996,19586,1520.1375017869905
Amlodipine Besylate,310756194.4299997,49241894,6.310809133986595
Amlodipine Besylate-Benazepril,21645465.56000001,1206857,17.935402089891355
Amlodipine-Atorvastatin,3877680.690000002,26290,147.49641270445042
Amlodipine-Olmesartan,7979798.059999997,175829,45.383856246694215
Amlodipine-Valsartan,10929983.839999998,221068,49.44172761322307
Ammonium Lactate,22121385.579999994,1043565,21.197899105470185
Amoxapine,54886.77000000002,776,70.73037371134023
Amoxicillin,23992065.38,7967837,3.0111139798668067
